,cond,mdp_code,participant,uncertain_prop,unknown_color_ent,dem_len,avg_revisit
333,show,oxx,S28,0.6666666666666666,-0.0,9.0,0.0
334,show,oxx,S31,0.4444444444444444,-0.0,9.0,0.0
335,show,oxx,S35,0.6666666666666666,-0.0,9.0,0.0
336,show,oxx,S39,0.6363636363636364,-0.0,11.0,0.0
337,show,oxx,S4,0.6666666666666666,-0.0,9.0,0.0
338,show,oxx,S43,0.6666666666666666,-0.0,27.0,1.0769230769230769
339,show,oxx,S45,0.6666666666666666,-0.0,9.0,0.0
340,show,oxx,S46,0.7333333333333333,-0.0,15.0,0.36363636363636365
341,show,oxx,S49,0.4444444444444444,-0.0,9.0,0.0
342,show,oxx,S50,0.631578947368421,-0.0,19.0,1.1111111111111112
343,show,oxx,S51,0.6666666666666666,-0.0,9.0,0.0
344,show,oxx,S53,0.8260869565217391,-0.0,23.0,1.0909090909090908
345,show,oxx,S55,0.4444444444444444,-0.0,9.0,0.0
346,show,oxx,S6,0.6666666666666666,-0.0,9.0,0.0
347,show,oxx,S7,0.4444444444444444,-0.0,9.0,0.0
348,show,xoo,S0,0.7142857142857143,1.5219280948873621,7.0,0.0
349,show,xoo,S12,0.8235294117647058,0.9852281360342515,17.0,0.0625
350,show,xoo,S13,0.7272727272727273,0.5435644431995964,11.0,0.1
351,show,xoo,S16,0.6363636363636364,0.863120568566631,11.0,0.0
352,show,xoo,S17,0.7647058823529411,0.9957274520849255,17.0,0.0
353,show,xoo,S18,0.8,0.9798687566511528,15.0,0.15384615384615385
354,show,xoo,S19,0.7647058823529411,0.9957274520849255,17.0,0.0
355,show,xoo,S2,0.6666666666666666,0.9182958340544896,9.0,0.0
356,show,xoo,S20,0.6666666666666666,-0.0,9.0,0.0
357,show,xoo,S21,0.4444444444444444,-0.0,9.0,0.0
358,show,xoo,S23,0.6923076923076923,1.224394445405986,13.0,0.08333333333333333
359,show,xoo,S24,0.782608695652174,1.5715416718219246,23.0,0.15
360,show,xoo,S25,0.7142857142857143,1.3709505944546687,7.0,0.0
361,show,xoo,S26,0.7272727272727273,0.5435644431995964,11.0,0.0
362,show,xoo,S28,0.6666666666666666,-0.0,9.0,0.0
363,show,xoo,S31,0.6666666666666666,0.9182958340544896,9.0,0.0
364,show,xoo,S35,0.7333333333333333,0.9940302114769565,15.0,0.0
365,show,xoo,S39,0.6363636363636364,0.863120568566631,11.0,0.0
366,show,xoo,S4,0.6666666666666666,0.9182958340544896,9.0,0.0
367,show,xoo,S43,0.8695652173913043,0.9927744539878083,23.0,0.4375
368,show,xoo,S45,0.6666666666666666,-0.0,9.0,0.0
369,show,xoo,S46,0.7333333333333333,0.9940302114769565,15.0,0.0
370,show,xoo,S49,0.6666666666666666,0.6500224216483541,9.0,0.0
371,show,xoo,S50,0.782608695652174,0.8524051786494786,23.0,1.0909090909090908
372,show,xoo,S51,0.5555555555555556,0.7219280948873623,9.0,0.0
373,show,xoo,S53,0.7647058823529411,0.9957274520849255,17.0,0.0
374,show,xoo,S55,0.6363636363636364,0.5916727785823275,11.0,0.1
375,show,xoo,S6,0.8,1.5,5.0,0.0
376,show,xoo,S7,0.6666666666666666,0.6500224216483541,9.0,0.0
377,show,xox,S0,0.8461538461538461,0.4394969869215134,13.0,0.625
378,show,xox,S12,0.8181818181818182,0.5032583347756457,11.0,0.2222222222222222
379,show,xox,S13,0.6923076923076923,1.224394445405986,13.0,0.08333333333333333
380,show,xox,S16,0.7142857142857143,0.9709505944546686,7.0,0.0
381,show,xox,S17,0.8181818181818182,0.5032583347756457,11.0,0.2222222222222222
382,show,xox,S18,0.8461538461538461,0.6840384356390417,13.0,0.3
383,show,xox,S19,0.7272727272727273,0.5435644431995964,11.0,0.1
384,show,xox,S2,0.7142857142857143,0.7219280948873623,7.0,0.0
385,show,xox,S20,0.7142857142857143,0.7219280948873623,7.0,0.0
386,show,xox,S21,0.4444444444444444,-0.0,9.0,0.0
387,show,xox,S23,0.7142857142857143,0.7219280948873623,7.0,0.0
388,show,xox,S24,0.6666666666666666,0.6500224216483541,9.0,0.0
389,show,xox,S25,0.7142857142857143,0.7219280948873623,7.0,0.0
390,show,xox,S26,0.7142857142857143,0.7219280948873623,7.0,0.0
391,show,xox,S28,0.7777777777777778,0.863120568566631,9.0,0.125
392,show,xox,S31,0.7142857142857143,0.7219280948873623,7.0,0.0
393,show,xox,S35,0.6666666666666666,0.6500224216483541,9.0,0.0
394,show,xox,S39,0.6666666666666666,0.6500224216483541,9.0,0.0
395,show,xox,S4,0.7142857142857143,0.7219280948873623,7.0,0.0
396,show,xox,S43,0.6129032258064516,0.2974722489192896,31.0,1.5833333333333333
397,show,xox,S45,0.7142857142857143,0.7219280948873623,7.0,0.0
398,show,xox,S46,0.7142857142857143,0.7219280948873623,7.0,0.0
399,show,xox,S49,0.5714285714285714,0.8112781244591328,7.0,0.0
400,show,xox,S50,0.7692307692307693,0.4689955935892812,13.0,0.3
